entity,code,year,emissions
Italy,ITA,1860,0.001126227
Italy,ITA,1861,0.02559917
Italy,ITA,1862,0.046562288
Italy,ITA,1863,0.040323935
Italy,ITA,1864,0.060095884
Italy,ITA,1865,0.047303215
Italy,ITA,1866,0.05458293
Italy,ITA,1867,0.053961847
Italy,ITA,1868,0.06190334
Italy,ITA,1869,0.067893706
Italy,ITA,1870,0.09653522
Italy,ITA,1871,0.082708955
Italy,ITA,1872,0.105997294
Italy,ITA,1873,0.09814545
Italy,ITA,1874,0.10561151
Italy,ITA,1875,0.107471436
Italy,ITA,1876,0.14314722
Italy,ITA,1877,0.1318209
Italy,ITA,1878,0.13046588
Italy,ITA,1879,0.14930338
Italy,ITA,1880,0.17261681
Italy,ITA,1881,0.20166817
Italy,ITA,1882,0.21094054
Italy,ITA,1883,0.22198184
Italy,ITA,1884,0.24416532
Italy,ITA,1885,0.27593336
Italy,ITA,1886,0.27249047
Italy,ITA,1887,0.3298038
Italy,ITA,1888,0.35167447
Italy,ITA,1889,0.36085936
Italy,ITA,1890,0.3888937
Italy,ITA,1891,0.3482069
Italy,ITA,1892,0.34266305
Italy,ITA,1893,0.32921925
Italy,ITA,1894,0.4062961
Italy,ITA,1895,0.37176776
Italy,ITA,1896,0.3512562
Italy,ITA,1897,0.3643463
Italy,ITA,1898,0.37693927
Italy,ITA,1899,0.41044554
Italy,ITA,1900,0.41726837
Italy,ITA,1901,0.40272814
Italy,ITA,1902,0.4438756
Italy,ITA,1903,0.44913656
Italy,ITA,1904,0.47091293
Italy,ITA,1905,0.51494014
Italy,ITA,1906,0.60375595
Italy,ITA,1907,0.6477283
Italy,ITA,1908,0.6553477
Italy,ITA,1909,0.7191808
Italy,ITA,1910,0.7160845
Italy,ITA,1911,0.7351726
Italy,ITA,1912,0.7690465
Italy,ITA,1913,0.8257717
Italy,ITA,1914,0.7491461
Italy,ITA,1915,0.6527092
Italy,ITA,1916,0.6440776
Italy,ITA,1917,0.4407476
Italy,ITA,1918,0.51772255
Italy,ITA,1919,0.5058378
Italy,ITA,1920,0.48337826
Italy,ITA,1921,0.588292
Italy,ITA,1922,0.6858346
Italy,ITA,1923,0.70966345
Italy,ITA,1924,0.8440211
Italy,ITA,1925,0.8051899
Italy,ITA,1926,0.923836
Italy,ITA,1927,1.0319438
Italy,ITA,1928,0.96636665
Italy,ITA,1929,1.1057256
Italy,ITA,1930,0.9848254
Italy,ITA,1931,0.84374666
Italy,ITA,1932,0.68712944
Italy,ITA,1933,0.7399153
Italy,ITA,1934,0.95498157
Italy,ITA,1935,1.0835172
Italy,ITA,1936,0.757516
Italy,ITA,1937,1.0608381
Italy,ITA,1938,1.0474766
Italy,ITA,1939,1.0656236
Italy,ITA,1940,1.1245015
Italy,ITA,1941,0.9769447
Italy,ITA,1942,0.94786507
Italy,ITA,1943,0.15996632
Italy,ITA,1944,0.07998864
Italy,ITA,1945,0.09670476
Italy,ITA,1946,0.48959672
Italy,ITA,1947,0.80761707
Italy,ITA,1948,0.7752891
Italy,ITA,1949,0.8625921
Italy,ITA,1950,0.89305586
Italy,ITA,1951,1.0443088
Italy,ITA,1952,1.0766559
Italy,ITA,1953,1.1810175
Italy,ITA,1954,1.3575833
Italy,ITA,1955,1.5222338
Italy,ITA,1956,1.7245687
Italy,ITA,1957,1.789509
Italy,ITA,1958,1.7902623
Italy,ITA,1959,1.9113301
Italy,ITA,1960,2.205334
Italy,ITA,1961,2.49685
Italy,ITA,1962,2.915639
Italy,ITA,1963,3.254986
Italy,ITA,1964,3.4456613
Italy,ITA,1965,3.6835344
Italy,ITA,1966,4.124357
Italy,ITA,1967,4.4771442
Italy,ITA,1968,4.7316194
Italy,ITA,1969,5.0877986
Italy,ITA,1970,5.557804
Italy,ITA,1971,5.7992506
Italy,ITA,1972,6.078986
Italy,ITA,1973,6.4978266
Italy,ITA,1974,6.5433507
Italy,ITA,1975,6.1903744
Italy,ITA,1976,6.604129
Italy,ITA,1977,6.368728
Italy,ITA,1978,6.644482
Italy,ITA,1979,6.8708906
Italy,ITA,1980,6.860227
Italy,ITA,1981,6.6386137
Italy,ITA,1982,6.483584
Italy,ITA,1983,6.3314753
Italy,ITA,1984,6.4394126
Italy,ITA,1985,6.514926
Italy,ITA,1986,6.4123178
Italy,ITA,1987,6.710243
Italy,ITA,1988,6.810592
Italy,ITA,1989,7.1368556
Italy,ITA,1990,7.7331023
Italy,ITA,1991,7.7188067
Italy,ITA,1992,7.7203307
Italy,ITA,1993,7.5818624
Italy,ITA,1994,7.478897
Italy,ITA,1995,7.9006634
Italy,ITA,1996,7.797271
Italy,ITA,1997,7.8950295
Italy,ITA,1998,8.1077795
Italy,ITA,1999,8.190235
Italy,ITA,2000,8.259678
Italy,ITA,2001,8.25647
Italy,ITA,2002,8.370203
Italy,ITA,2003,8.637428
Italy,ITA,2004,8.669648
Italy,ITA,2005,8.631403
Italy,ITA,2006,8.504796
Italy,ITA,2007,8.3475
Italy,ITA,2008,8.089209
Italy,ITA,2009,7.1345263
Italy,ITA,2010,7.297165
Italy,ITA,2011,7.0759273
Italy,ITA,2012,6.716391
Italy,ITA,2013,6.1389084
Italy,ITA,2014,5.804219
Italy,ITA,2015,6.0089397
Italy,ITA,2016,5.9684334
Italy,ITA,2017,5.889915
Italy,ITA,2018,5.8423834
Italy,ITA,2019,5.699218
Italy,ITA,2020,5.097115
Italy,ITA,2021,5.692572
Italy,ITA,2022,5.726825
